Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Vínculos de Alunos;Região;UF;Nome Região
2017;PÚBLICA;MUNICIPAL;3;46309;SUDESTE;SÃO PAULO;SUDESTE
2017;PÚBLICA;MUNICIPAL;3;1610;SUL;PARANÁ;SUL
2017;PÚBLICA;MUNICIPAL;3;11866;SUL;SANTA CATARINA;SUL
2017;PRIVADA;PRIVADA;4;325;-;-;-
2017;PRIVADA;PRIVADA;4;184118;CENTRO-OESTE;DISTRITO FEDERAL;CENTRO-OESTE
2017;PRIVADA;PRIVADA;4;184890;CENTRO-OESTE;GOIÁS;CENTRO-OESTE
2017;PRIVADA;PRIVADA;4;120389;CENTRO-OESTE;MATO GROSSO;CENTRO-OESTE
2017;PRIVADA;PRIVADA;4;93582;CENTRO-OESTE;MATO GROSSO DO SUL;CENTRO-OESTE
2017;PRIVADA;PRIVADA;4;63522;NORDESTE;ALAGOAS;NORDESTE
2017;PRIVADA;PRIVADA;4;321760;NORDESTE;BAHIA;NORDESTE
2017;PRIVADA;PRIVADA;4;192148;NORDESTE;CEARÁ;NORDESTE
2017;PRIVADA;PRIVADA;4;109090;NORDESTE;MARANHÃO;NORDESTE
2017;PRIVADA;PRIVADA;4;83354;NORDESTE;PARAÍBA;NORDESTE
2017;PRIVADA;PRIVADA;4;183090;NORDESTE;PERNAMBUCO;NORDESTE
2017;PRIVADA;PRIVADA;4;71649;NORDESTE;PIAUÍ;NORDESTE
2017;PRIVADA;PRIVADA;4;65469;NORDESTE;RIO GRANDE DO NORTE;NORDESTE
2017;PRIVADA;PRIVADA;4;55151;NORDESTE;SERGIPE;NORDESTE
2017;PRIVADA;PRIVADA;4;25294;NORTE;ACRE;NORTE
2017;PRIVADA;PRIVADA;4;35071;NORTE;AMAPÁ;NORTE
2017;PRIVADA;PRIVADA;4;114506;NORTE;AMAZONAS;NORTE
2017;PRIVADA;PRIVADA;4;178388;NORTE;PARÁ;NORTE
2017;PRIVADA;PRIVADA;4;63662;NORTE;RONDÔNIA;NORTE
2017;PRIVADA;PRIVADA;4;16349;NORTE;RORAIMA;NORTE
2017;PRIVADA;PRIVADA;4;44546;NORTE;TOCANTINS;NORTE
2017;PRIVADA;PRIVADA;4;121776;SUDESTE;ESPÍRITO SANTO;SUDESTE
2017;PRIVADA;PRIVADA;4;635881;SUDESTE;MINAS GERAIS;SUDESTE
2017;PRIVADA;PRIVADA;4;520403;SUDESTE;RIO DE JANEIRO;SUDESTE
2017;PRIVADA;PRIVADA;4;1686673;SUDESTE;SÃO PAULO;SUDESTE
2017;PRIVADA;PRIVADA;4;379440;SUL;PARANÁ;SUL
2017;PRIVADA;PRIVADA;4;399638;SUL;RIO GRANDE DO SUL;SUL
2017;PRIVADA;PRIVADA;4;291143;SUL;SANTA CATARINA;SUL
